"scientific","family","rec_gbif"
"Eschweilera coriacea (DC.) S.A.Mori","Lecythidaceae",506
"Fabaceae","Fabaceae",463
"Manihot esculenta Crantz","Euphorbiaceae",409
"Mauritia flexuosa L.f.","Arecaceae",369
"Euterpe precatoria Mart.","Arecaceae",366
"Eschweilera Mart. ex DC.","Lecythidaceae",362
"Oxandra polyantha R.E.Fr.","Annonaceae",353
"Virola calophylla (Spruce) Warb.","Myristicaceae",339
"Clathrotropis macrocarpa Ducke","Fabaceae",312
"Virola elongata (Benth.) Warb.","Myristicaceae",303
"Iryanthera ulei Warb.","Myristicaceae",279
"Oenocarpus bataua Mart.","Arecaceae",279
"Micrandra spruceana (Baill.) R.E.Schult.","Euphorbiaceae",272
"Lauraceae","Lauraceae",270
"Virola Aubl.","Myristicaceae",242
"Nealchornea yapurensis Huber","Euphorbiaceae",216
"Inga Mill.","Fabaceae",213
"Pouteria Aubl.","Sapotaceae",207
"SH0934916.09FU","Moraceae",206
"Digomphia densicoma (Mart. ex DC.) Pilg.","Bignoniaceae",206
"Scleronema micranthum (Ducke) Ducke","Malvaceae",201
"Myristicaceae","Myristicaceae",196
"Miconia Ruiz & Pav.","Melastomataceae",189
"Plantae",NULL,188
"Rinorea lindeniana (Tul.) Kuntze","Violaceae",184
"Licania Aubl.","Chrysobalanaceae",180
"Sapotaceae","Sapotaceae",176
"Conceveiba guianensis Aubl.","Euphorbiaceae",174
"Monopteryx uaucu Spruce ex Benth.","Fabaceae",167
"Chrysobalanaceae","Chrysobalanaceae",167
"Lecythidaceae","Lecythidaceae",166
"Virola pavonis (A.DC.) A.C.Sm.","Myristicaceae",165
"Eugenia L.","Myrtaceae",164
"Ocotea Aubl.","Lauraceae",157
"Clusia L.","Clusiaceae",153
"Heterostemon conjugatus Spruce ex Benth.","Fabaceae",152
"Annonaceae","Annonaceae",152
"Iriartea deltoidea Ruiz & Pav.","Arecaceae",151
"Sloanea L.","Elaeocarpaceae",145
"Iryanthera tricornis Ducke","Myristicaceae",144
"Eschweilera punctata S.A.Mori","Lecythidaceae",142
"Hevea guianensis Aubl.","Euphorbiaceae",141
"Tachigali Aubl.","Fabaceae",141
"Geonoma stricta (Poit.) Kunth","Arecaceae",135
"Rubiaceae","Rubiaceae",134
"Piper L.","Piperaceae",133
"Lindsaea lancea (L.) Bedd.","Lindsaeaceae",129
"Hyospathe elegans Mart.","Arecaceae",128
"Theobroma obovatum Klotzsch ex Bernoulli","Malvaceae",127
"SH1207037.09FU","Malpighiaceae",126
"Geonoma deversa (Poit.) Kunth","Arecaceae",126
"Elaeoluma Baill.","Sapotaceae",126
"Theobroma subincanum Mart.","Malvaceae",126
"Lepidocaryum tenue Mart.","Arecaceae",125
"Protium nodulosum Swart","Burseraceae",125
"Geonoma macrostachys Mart.","Arecaceae",122
"Ocotea aciphylla (Nees) Mez","Lauraceae",119
"Osteophloeum platyspermum (A.DC.) Warb.","Myristicaceae",119
"Psychotria L.","Rubiaceae",116
"Capsicum chinense Jacq.","Solanaceae",116
"Iriartella setigera (Mart.) H.Wendl.","Arecaceae",116
"Guarea kunthiana A.Juss.","Meliaceae",112
"Socratea exorrhiza (Mart.) H.Wendl.","Arecaceae",112
"Micropholis guyanensis (A.DC.) Pierre","Sapotaceae",111
"Eschweilera itayensis R.Knuth","Lecythidaceae",111
"Bromeliaceae","Bromeliaceae",110
"Eschweilera rufifolia S.A.Mori","Lecythidaceae",110
"Leonia glycycarpa Ruiz & Pav.","Violaceae",108
"Warszewiczia coccinea (Vahl) Klotzsch","Rubiaceae",108
"Dacryodes chimantensis Steyerm. & Maguire","Burseraceae",108
"Protium Burm.fil.","Burseraceae",107
"Rinorea racemosa (C.Mart.) Kuntze","Violaceae",106
"Philodendron Schott","Araceae",106
"Cyathea lasiosora (Mett. ex Kuhn) Domin","Cyatheaceae",105
"Eschweilera tessmannii R.Knuth","Lecythidaceae",104
"Swartzia klugii (R.S.Cowan) Torke","Fabaceae",104
"Caraipa Aubl.","Calophyllaceae",104
"Siparuna decipiens (Tul.) A.DC.","Siparunaceae",103
"Manihot Mill.","Euphorbiaceae",103
"Iryanthera juruensis Warb.","Myristicaceae",102
"Dendropanax palustris (Ducke) Harms","Araliaceae",102
"Arecaceae","Arecaceae",102
"Guarea L.","Meliaceae",102
"Calophyllum longifolium Willd.","Calophyllaceae",101
"Hevea pauciflora (Spruce ex Benth.) Müll.Arg.","Euphorbiaceae",101
"Melastomataceae","Melastomataceae",99
"Tapirira guianensis Aubl.","Anacardiaceae",99
"Micrandra siphonioides Benth.","Euphorbiaceae",99
"Siparuna cristata (Poepp. & Endl.) A.DC.","Siparunaceae",98
"Rinorea Aubl.","Violaceae",98
"Aechmea corymbosa (Mart. ex Schult. & Schult.f.) Mez","Bromeliaceae",97
"Iryanthera hostmannii (Benth.) Warb.","Myristicaceae",95
"Clusiaceae","Clusiaceae",95
"Cecropia membranacea Trécul","Urticaceae",94
"Eschweilera albiflora (DC.) Miers","Lecythidaceae",93
"Guatteria megalophylla Diels","Annonaceae",93
"Iryanthera crassifolia A.C.Sm.","Myristicaceae",92
"Capsicum annuum L.","Solanaceae",92
"Pseudolmedia laevis (Ruiz & Pav.) J.F.Macbr.","Moraceae",91
"Macrolobium Schreb.","Fabaceae",91
"Ficus L.","Moraceae",90
"Drymonia coccinea (Aubl.) Wiehler","Gesneriaceae",89
"Pouteria torta (Mart.) Radlk.","Sapotaceae",88
"Moraceae","Moraceae",88
"Hevea brasiliensis (Willd. ex A.Juss.) Müll.Arg.","Euphorbiaceae",87
"Geonoma maxima (Poit.) Kunth","Arecaceae",87
"Xylopia L.","Annonaceae",87
"Capsicum frutescens L.","Solanaceae",85
"Cordia nodosa Lam.","Cordiaceae",85
"Iryanthera Warb.","Myristicaceae",85
"Hevea nitida Mart. ex Müll.Arg.","Euphorbiaceae",84
"Clusia spathulaefolia Engl.","Clusiaceae",84
"Brosimum utile (Kunth) Oken","Moraceae",84
"Pouteria cuspidata (A.DC.) Baehni","Sapotaceae",84
"Swartzia polyphylla DC.","Fabaceae",84
"Lindackeria paludosa (Benth.) Gilg","Achariaceae",82
"Myrtaceae","Myrtaceae",82
"Swartzia Schreb.","Fabaceae",82
"Geonoma Willd.","Arecaceae",82
"Matisia ochrocalyx Schum.","Malvaceae",81
"Rhodognaphalopsis A.Robyns","Malvaceae",80
"Mabea Aubl.","Euphorbiaceae",80
"Aspidosperma excelsum Benth.","Apocynaceae",80
"Oxandra xylopioides Diels","Annonaceae",79
"Minquartia guianensis Aubl.","Coulaceae",79
"Burseraceae","Burseraceae",77
"Unonopsis veneficiorum (Mart.) R.E.Fr.","Annonaceae",76
"Eschweilera parvifolia Mart. ex DC.","Lecythidaceae",76
"Inga edulis Mart.","Fabaceae",76
"Virola surinamensis (Rol.) Warb.","Myristicaceae",76
"Chrysophyllum sanguinolentum (Pierre) Baehni","Sapotaceae",76
"Tabebuia insignis (Miq.) Sandwith","Bignoniaceae",75
"Caraipa punctulata Ducke","Calophyllaceae",75
"Saccoloma inaequale (Kunze) Mett.","Saccolomataceae",74
"Piper soledadense Trel.","Piperaceae",74
"SH1263627.09FU","Apocynaceae",74
"Dacryodes Vahl","Burseraceae",74
"Matisia lasiocalyx K.Schum.","Malvaceae",74
"Bactris simplicifrons Mart.","Arecaceae",73
"Octoblepharum albidum Hedwig, 1801","Dicranaceae",72
"Meliaceae","Meliaceae",72
"Capsicum L.","Solanaceae",72
"Heliconia L.","Heliconiaceae",71
"Mabea occidentalis Benth.","Euphorbiaceae",70
"Brosimum lactescens (Moore) C.C.Berg","Moraceae",70
"Mollia lepidota Spruce ex Benth.","Malvaceae",70
"Goupia glabra Aubl.","Goupiaceae",70
"Eschweilera gigantea (R.Knuth) J.F.Macbr.","Lecythidaceae",70
"Pseudosenefeldera inclinata (Müll.Arg.) Esser","Euphorbiaceae",70
"Myrcia DC. ex Guill.","Myrtaceae",70
"Costus scaber Ruiz & Pav.","Costaceae",70
"Caryocar glabrum (Aubl.) Pers.","Caryocaraceae",70
"Aparisthmium cordatum (A.Juss.) Baill.","Euphorbiaceae",69
"Neea Ruiz & Pav.","Nyctaginaceae",69
"Besleria aggregata (C.Mart.) Hanst.","Gesneriaceae",69
"Bactris maraja Mart.","Arecaceae",69
"Cyathea pungens (Willd.) Domin","Cyatheaceae",69
"Theobroma glaucum Karst.","Malvaceae",69
"Pourouma Aubl.","Urticaceae",68
"Euphorbiaceae","Euphorbiaceae",68
"Renealmia krukovii Maas","Zingiberaceae",68
"Virola loretensis A.C.Sm.","Myristicaceae",68
"Miconia mayeta (D.Don) Michelang.","Melastomataceae",67
"Micropholis venulosa (Mart. & Eichler) Pierre","Sapotaceae",67
"Tovomita Aubl.","Clusiaceae",67
"Triplaris americana L.","Polygonaceae",67
"Pachira brevipes (Robyns) Alverson","Malvaceae",67
"Oxandra leucodermis (Spruce ex Benth.) Warm.","Annonaceae",67
"Ouratea Aubl.","Ochnaceae",67
"Sterculia L.","Malvaceae",67
"Swartzia schomburgkii Benth.","Fabaceae",66
"Guatteria Ruiz & Pav.","Annonaceae",66
"Guarea macrophylla M.Vahl","Meliaceae",65
"Sematophyllum subsimplex Mitten, 1869","Sematophyllaceae",65
"Piper dumosum Rudge","Piperaceae",65
"Faramea multiflora A.Rich. ex DC.","Rubiaceae",64
"Micropholis egensis (A.DC.) Pierre","Sapotaceae",64
"Brosimum rubescens Taub.","Moraceae",64
"Bactris hirta Mart.","Arecaceae",63
"Protium hebetatum Daly","Burseraceae",63
"Miconia nervosa (Sm.) Triana","Melastomataceae",63
"Otoba parvifolia (Markgr.) A.H.Gentry","Myristicaceae",63
"Anthurium Schott","Araceae",62
"Symphonia globulifera L.fil.","Clusiaceae",62
"Guarea purusana C.DC.","Meliaceae",61
"Couma catingae Ducke","Apocynaceae",61
"Theobroma cacao L.","Malvaceae",61
"Annona L.","Annonaceae",60
"Sorocea pubivena subsp. oligotricha (Akkermans & C.C.Berg) C.C.Berg","Moraceae",60
"Casearia javitensis Kunth","Salicaceae",60
"Sandwithia heterocalyx Secco","Euphorbiaceae",60
"Guarea pterorhachis Harms","Meliaceae",60
"Iryanthera polyneura Ducke","Myristicaceae",60
"Pouteria guianensis Aubl.","Sapotaceae",60
"Endlicheria Nees","Lauraceae",59
"Pouteria caimito (Ruiz & Pav.) Radlk.","Sapotaceae",59
"Iryanthera elliptica Ducke","Myristicaceae",59
"Violaceae","Violaceae",59
"Macrolobium acaciifolium (Benth.) Benth.","Fabaceae",58
"Herrania nitida (Poepp.) R.E.Schult.","Malvaceae",58
"Matisia bracteolosa Ducke","Malvaceae",58
"Trichilia P.Browne","Meliaceae",58
"Rudgea Salisb.","Rubiaceae",57
"Clathrotropis nitida (Benth.) Harms","Fabaceae",57
"Hirtella racemosa Lam.","Chrysobalanaceae",57
"Asplenium serratum L.","Aspleniaceae",57
"Swartzia rosea Mart. ex Benth.","Fabaceae",57
"Abuta grandifolia (C.Mart.) Sandwith","Menispermaceae",57
"Iryanthera lancifolia Ducke","Myristicaceae",56
"Eschweilera alata A.C.Sm.","Lecythidaceae",56
"Euterpe catinga Wallace","Arecaceae",56
"Paullinia L.","Sapindaceae",56
"Heliconia stricta Huber","Heliconiaceae",55
"Protium altsonii Sandwith","Burseraceae",55
"Aechmea contracta (Mart. ex Schult. & Schult.f.) Baker","Bromeliaceae",55
"Didymocistus chrysadenius Kuhlm.","Phyllanthaceae",55
"Rinorea pubiflora (Benth.) Sprague & Sandwith","Violaceae",55
"Carapa guianensis Aubl.","Meliaceae",55
"Leonia racemosa Mart.","Violaceae",55
"Miconia splendens (Sw.) Griseb.","Melastomataceae",55
"Tachigali paniculata Aubl.","Fabaceae",55
"Geonoma camana Trail","Arecaceae",55
"Macrolobium angustifolium (Benth.) R.S.Cowan","Fabaceae",55
"Leucobryum martianum (Hornsch.) Hampe ex Müll.Hal.","Dicranaceae",54
"Inga marginata Willd.","Fabaceae",54
"Passiflora nitida Kunth","Passifloraceae",53
"Trichomanes pinnatum Hedw.","Hymenophyllaceae",53
"Apocynaceae","Apocynaceae",53
"Mabea nitida Spruce ex Benth.","Euphorbiaceae",53
"Philodendron wittianum Engl.","Araceae",53
"Astrocaryum gynacanthum Mart.","Arecaceae",53
"Anaxagorea phaeocarpa Mart.","Annonaceae",52
"Sterculia apeibophylla Ducke","Malvaceae",52
"Cyclodium meniscioides (Willd.) C.Presl","Dryopteridaceae",52
"Sorocea pubivena Hemsl.","Moraceae",52
"Sterculia tessmannii Mildbr.","Malvaceae",52
"Apeiba aspera Aubl.","Malvaceae",52
"Dialium guianense (Aubl.) Sandwith","Fabaceae",52
"Croton cuneatus Klotzsch","Euphorbiaceae",52
"Vatairea guianensis Aubl.","Fabaceae",52
"Poaceae","Poaceae",52
"Calyptranthes Sw.","Myrtaceae",52
"Licania apetala (E.Mey.) Fritsch","Chrysobalanaceae",52
"Peperomia Ruiz & Pav.","Piperaceae",51
"Pterocarpus amazonum (Mart. ex Benth.) Amshoff","Fabaceae",51
"Lomariopsis japurensis (Mart.) J.Sm.","Lomariopsidaceae",50
"Paypayrola grandiflora Tul.","Violaceae",50
"Heliconia hirsuta L.f.","Heliconiaceae",50
"Solanum L.","Solanaceae",50
"Heisteria acuminata (Humb. & Bonpl.) Engl.","Erythropalaceae",50
"Garcinia macrophylla Mart.","Clusiaceae",50
"Genipa americana L.","Rubiaceae",50
"Mouriri Aubl.","Melastomataceae",50
"Naucleopsis ulei (Warb.) Ducke","Moraceae",49
"Cissus erosa (L.) Rich.","Vitaceae",49
"Aspidosperma Mart. & Zucc.","Apocynaceae",49
"Sorocea muriculata Miq.","Moraceae",49
"Heliconia juruana Loes.","Heliconiaceae",48
"Neea divaricata Poepp. & Endl.","Nyctaginaceae",48
"Annona hypoglauca Mart.","Annonaceae",48
"Miconia serrulata (DC.) Naudin","Melastomataceae",48
"Bactris fissifrons Mart.","Arecaceae",48
"Unonopsis stipitata Diels","Annonaceae",48
"Palicourea macarthurorum C.M.Taylor","Rubiaceae",48
"Siparuna obstipa J.F.Macbr.","Siparunaceae",48
"Iryanthera laevis Markgr.","Myristicaceae",48
"Flacourtiaceae","Flacourtiaceae",48
"Schizaea elegans (Vahl) Sw.","Schizaeaceae",47
"Theobroma L.","Malvaceae",47
"Chrysochlamys weberbaueri Engl.","Clusiaceae",47
"Parkia multijuga Benth.","Fabaceae",47
"Couma macrocarpa Barb.Rodr.","Apocynaceae",47
"SH1022386.09FU","Balsaminaceae",47
"Marantaceae","Marantaceae",46
"Carpotroche longifolia (Poepp.) Benth.","Achariaceae",46
"Brosimum guianense (Aubl.) Huber","Moraceae",46
"Vanilla trigonocarpa Hoehne","Orchidaceae",46
"Trichomanes hostmannianum (Klotzsch) Kunze","Hymenophyllaceae",46
"Araceae","Araceae",46
"Gesneriaceae","Gesneriaceae",46
"Hieronyma alchorneoides Allemão","Phyllanthaceae",46
"Heisteria Jacq.","Erythropalaceae",45
"Mauritiella aculeata (Kunth) Burret","Arecaceae",45
"Trichomanes elegans Rich.","Hymenophyllaceae",45
"Renealmia thyrsoidea (Ruiz & Pav.) Poepp. & Endl.","Zingiberaceae",45
"Pseudolmedia laevigata Trécul","Moraceae",45
"Calathea G.Mey.","Marantaceae",45
"Parkia panurensis Benth. ex H.C.Hopkins","Fabaceae",45
"Bignoniaceae","Bignoniaceae",44
"Tachia occidentalis Maguire & Weaver","Gentianaceae",44
"Malouetia tamaquarina (Aubl.) A.DC.","Apocynaceae",44
"Psychotria remota Benth.","Rubiaceae",44
"Naucleopsis Miq.","Moraceae",44
"Poraqueiba paraensis Ducke","Metteniusaceae",44
"Clidemia D.Don","Melastomataceae",44
"Inga acrocephala Steud.","Fabaceae",44
"Protium opacum Swart","Burseraceae",44
"Pourouma minor Benoist","Urticaceae",44
"Leonia cymosa C.Mart.","Violaceae",44
"Coussarea brevicaulis K.Krause","Rubiaceae",44
"Oxandra mediocris Diels","Annonaceae",44
"Zygia latifolia (L.) Fawc. & Rendle","Fabaceae",44
"Iryanthera macrophylla (Benth.) Warb.","Myristicaceae",44
"Gloeospermum sphaerocarpum Triana & Planch.","Violaceae",44
"Drymonia pendula (Poepp.) Wiehler","Gesneriaceae",43
"Dacryodes peruviana (Loes.) H.J.Lam","Burseraceae",43
"Sclerolobium Vogel","Fabaceae",43
"Apeiba membranacea Spruce ex Benth.","Malvaceae",43
"Eschweilera andina (Rusby) J.F.Macbr.","Lecythidaceae",43
"Heliconia lasiorachis L.Andersson","Heliconiaceae",43
"Conceveiba martiana Baill.","Euphorbiaceae",43
"Compsoneura capitellata (Poepp. ex A.DC.) Warb.","Myristicaceae",43
"Poraqueiba sericea Tul.","Metteniusaceae",43
"Senefeldera Mart.","Euphorbiaceae",43
"Tabernaemontana siphilitica (L.fil.) Leeuwenb.","Apocynaceae",43
"Faramea quinqueflora Poepp.","Rubiaceae",42
"Cyperaceae","Cyperaceae",42
"Brosimum guianense (Aubl.) Huber ex Ducke","Moraceae",42
"Unonopsis guatterioides (A.DC.) R.E.Fr.","Annonaceae",42
"Nectandra Rol. ex Rottb.","Lauraceae",42
"Anaueria brasiliensis Kosterm.","Lauraceae",42
"Monotagma laxum (Poepp. & Endl.) K.Schum.","Marantaceae",42
"Gustavia hexapetala (Aubl.) Sm.","Lecythidaceae",42
"Clusia hammeliana Pipoly","Clusiaceae",42
"Guatteria modesta Diels","Annonaceae",42
"Anthurium gracile (Rudge) Schott","Araceae",42
"Protium paniculatum Engl.","Burseraceae",42
"Microgramma reptans (Cav.) A.R.Sm.","Polypodiaceae",41
"Cyathea traillii (Baker) Domin","Cyatheaceae",41
"Tetrastylidium peruvianum Sleumer","Strombosiaceae",41
"Metaxya rostrata (Kunth) C.Presl","Metaxyaceae",41
"Micropterygium leiophyllum Spruce","Lepidoziaceae",41
"Licania micrantha Miq.","Chrysobalanaceae",41
"Maxillaria Ruiz & Pav.","Orchidaceae",41
"Trichomanes ankersii C.S.Parker ex Hook. & Grev.","Hymenophyllaceae",41
"Triplaris weigeltiana (Rchb.) Kuntze","Polygonaceae",41
"Dendropanax Decne. & Planch.","Araliaceae",40
"Adiantum tomentosum Klotzsch","Pteridaceae",40
"Swartzia arborescens (Aubl.) Pittier","Fabaceae",40
"Ophiocaryon heterophyllum (Benth.) Urb.","Sabiaceae",40
"Sapindaceae","Sapindaceae",40
"Hevea benthamiana Müll.Arg.","Euphorbiaceae",40
"Diplotropis martiusii Benth.","Fabaceae",40
"Sloanea floribunda Spruce ex Benth.","Elaeocarpaceae",40
"Discophora guianensis Miers","Stemonuraceae",40
"Cecropia sciadophylla C.Mart.","Urticaceae",40
"Qualea ingens Warm.","Vochysiaceae",40
"Mayna odorata Aubl.","Achariaceae",40
"Ryania speciosa M.Vahl","Salicaceae",40
"Goeppertia lanata (Petersen) Borchs. & S.Suárez","Marantaceae",40
"Didymochlaena truncatula (Sw.) J.Sm.","Didymochlaenaceae",39
"Desmoncus mitis Mart.","Arecaceae",39
"Clusia columnaris Engl.","Clusiaceae",39
"Buchenavia Eichler","Combretaceae",39
"Tapura amazonica Poepp. & Endl.","Dichapetalaceae",39
"Solanum oppositifolium Ruiz & Pav.","Solanaceae",39
"Bactris riparia Mart.","Arecaceae",39
"Pourouma cecropiifolia Mart.","Urticaceae",39
"Pourouma bicolor C.Mart.","Urticaceae",39
"Palicourea Aubl.","Rubiaceae",39
"Siparuna Aubl.","Siparunaceae",39
"Heliconia velutina L.Andersson","Heliconiaceae",39
"Aniba Aubl.","Lauraceae",39
"Vismia Vand.","Hypericaceae",39
"Eschweilera juruensis R.Knuth","Lecythidaceae",39
"Miconia carassana Cogn.","Melastomataceae",39
"Siparuna guianensis Aubl.","Siparunaceae",38
"Cheilolejeunea rigidula (Nees ex Mont.) R.M.Schust.","Lejeuneaceae",38
"Trichilia micrantha Benth.","Meliaceae",38
"Drymonia affinis (Mansf.) Wiehler","Gesneriaceae",38
"Calyptrocarya glomerulata (Brongn.) Urb.","Cyperaceae",38
"Attalea insignis (Mart.) Drude","Arecaceae",38
"Clavija weberbaueri Mez","Primulaceae",38
"Stylogyne longifolia (C.Mart.) Mez","Primulaceae",37
"Monstera obliqua Miq.","Araceae",37
"Helicostylis scabra (J.F.Macbr.) C.C.Berg","Moraceae",37
"Duroia hirsuta (Poepp.) K.Schum.","Rubiaceae",37
"Coccoloba densifrons C.Mart. ex Meisn.","Polygonaceae",37
"Casearia Jacq.","Salicaceae",37
"Psychotria limitanea Standl.","Rubiaceae",37
"Palicourea lasiantha K.Krause","Rubiaceae",37
"Palicourea guianensis Aubl.","Rubiaceae",37
"Cynometra marginata Benth.","Fabaceae",37
"Salpinga secunda Schrank & Mart. ex DC.","Melastomataceae",37
"Jacaranda macrocarpa Bureau & K.Schum.","Bignoniaceae",37
"Sorocea A.St.-Hil.","Moraceae",37
"Isertia hypoleuca Benth.","Rubiaceae",36
"Palicourea stenostachya (Standl.) C.M.Taylor","Rubiaceae",36
"Astrocaryum murumuru Mart.","Arecaceae",36
"Swartzia auriculata Poepp.","Fabaceae",36
"Macrolobium multijugum (DC.) Benth.","Fabaceae",36
"Eugenia florida DC.","Myrtaceae",36
"Pterocarpus officinalis Jacq.","Fabaceae",36
"Licania macrocarpa Cuatrec.","Chrysobalanaceae",36
"Bothriospora corymbosa (Benth.) Hook.f.","Rubiaceae",36
"Ananas comosus (L.) Merr.","Bromeliaceae",36
"Unonopsis R.E.Fr.","Annonaceae",36
"Pseudobombax munguba (Mart. & Zucc.) Dugand","Malvaceae",36
"Passiflora L.","Passifloraceae",36
"Ficus paraensis (Miq) Miq.","Moraceae",36
"Pariana Aubl.","Poaceae",36
"Alsophila cuspidata (Kunze) D.S.Conant","Cyatheaceae",36
"Retiniphyllum concolor (Spruce ex Benth.) Müll.Arg.","Rubiaceae",36
"Maquira coriacea (H.Karst.) C.C.Berg","Moraceae",36
"Begonia rossmanniae A.DC.","Begoniaceae",36
"Miconia macrosperma (Mart.) Michelang.","Melastomataceae",36
"Aspidosperma schultesii Woodson","Apocynaceae",36
"Bocageopsis multiflora (Mart.) R.E.Fr.","Annonaceae",36
"Costus L.","Costaceae",36
"Cyclanthus bipartitus Poit. ex A.Rich.","Cyclanthaceae",35
"Inga stenoptera Benth.","Fabaceae",35
"Tococa Aubl.","Melastomataceae",35
"Sterculiaceae","Sterculiaceae",35
"Pseudolmedia rigida (Klotzsch & H.Karst.) Cuatrec.","Moraceae",35
"Pourouma tomentosa C.Mart. ex Miq.","Urticaceae",35
"Campsiandra comosa Benth.","Fabaceae",35
"Maieta guianensis Aubl.","Melastomataceae",35
"Psychotria peruviana Steyerm.","Rubiaceae",35
"Naucleopsis krukovii (Standl.) C.C.Berg","Moraceae",35
"Oxandra euneura Diels","Annonaceae",35
"Zygia P.Browne","Fabaceae",35
"Crossomitrium acuminatum E.B.Bartram, 1953","Daltoniaceae",35
"Evodianthus funifer (Poit.) Lindm.","Cyclanthaceae",35
"Palicourea crocea (Sw.) Schult.","Rubiaceae",35
"Syrrhopodon leprieurii Montagne, 1834","Calymperaceae",35
"Qualea acuminata Spruce ex Warm.","Vochysiaceae",35
"Nyctaginaceae","Nyctaginaceae",35
"Rinorea viridifolia Rusby","Violaceae",35
"Manicaria martiana Burret","Arecaceae",35
"Notopleura leucantha (K.Krause) C.M.Taylor","Rubiaceae",34
"Garcinia madruno (Kunth) Hammel","Clusiaceae",34
"Anaxagorea brevipes Benth.","Annonaceae",34
"Anthurium uleanum Engl.","Araceae",34
"Swartzia cardiosperma Spruce ex Benth.","Fabaceae",34
"Elaeoluma glabrescens (Mart. & Eichler) Aubrév.","Sapotaceae",34
"Astrocaryum ciliatum F.Kahn & B.Millán","Arecaceae",34
"Besleria L.","Gesneriaceae",34
"Bixa orellana L.","Bixaceae",34
"Selaginella parkeri (Hook. & Grev.) Spring","Selaginellaceae",34
"Crepidospermum rhoifolium (Benth.) Triana & Planch.","Burseraceae",34
"Compsoneura sprucei (A.DC.) Warb.","Myristicaceae",34
"Pterocarpus Jacq.","Fabaceae",34
"Vismia macrophylla Kunth","Hypericaceae",34
"Chamaedorea pauciflora Mart.","Arecaceae",34
"Bactris Jacq. ex Scop.","Arecaceae",33
"Talisia Aubl.","Sapindaceae",33
"Cordia L.","Cordiaceae",33
"Croton bilocularis J.Murillo","Euphorbiaceae",33
"Palicourea acuminata (Benth.) Borhidi","Rubiaceae",33
"Cyathea macrosora (Baker) Domin","Cyatheaceae",33
"Otoba glycycarpa (Ducke) W.A.Rodrigues & T.S.Jaram.","Myristicaceae",33
"Cecropia ficifolia Warb. ex Snethl.","Urticaceae",33
"Guarea glabra Vahl","Meliaceae",33
"Ocotea argyrophylla Ducke","Lauraceae",33
"Licania heteromorpha Gleason","Chrysobalanaceae",33
"SH0970532.09FU","Sapotaceae",33
"Zygia inaequalis (Humb. & Bonpl. ex Willd.) Pittier","Fabaceae",33
"Nectandra amazonum Nees","Lauraceae",33
"Astrocaryum aculeatum G.Mey.","Arecaceae",33
"Aechmea mertensii (G.Mey.) Schult. & Schult.f.","Bromeliaceae",33
"Esenbeckia amazonica Kaastra","Rutaceae",33
"Trymatococcus amazonicus Poepp. & Endl.","Moraceae",32
"Oenocarpus minor Mart.","Arecaceae",32
"Peperomia serpens (Sw.) Loudon","Piperaceae",32
"Geonoma brongniartii Mart.","Arecaceae",32
"Guarea gomma Pulle","Meliaceae",32
"Pausandra trianae (Müll.Arg.) Baill.","Euphorbiaceae",32
"Dichorisandra J.C.Mikan","Commelinaceae",32
"Coussapoa villosa Poepp. & Endl.","Urticaceae",32
"SH1256502.09FU","Apocynaceae",32
"Coussarea Aubl.","Rubiaceae",32
"Astrocaryum jauari Mart.","Arecaceae",32
"Ischnosiphon arouma (Aubl.) Körn.","Marantaceae",32
"Perebea xanthochyma H.Karst.","Moraceae",32
"Roucheria columbiana Hallier fil.","Linaceae",32
"Simarouba amara Aubl.","Simaroubaceae",32
"Marcgravia L.","Marcgraviaceae",32
"Mollia Mart. & Zucc.","Malvaceae",32
"Monimiaceae","Monimiaceae",32
"Palicourea tomentosa (Aubl.) Borhidi","Rubiaceae",31
"Siparuna sessiliflora (Kunth) A.DC.","Siparunaceae",31
"Urospatha sagittifolia (Rudge) Schott","Araceae",31
"Caraipa grandifolia Mart.","Calophyllaceae",31
"Anthurium clavigerum Poepp.","Araceae",31
"Aechmea nidularioides L.B.Sm.","Bromeliaceae",31
"Macoubea guianensis Aubl.","Apocynaceae",31
"Combretaceae","Combretaceae",31
"Moronobea coccinea Aubl.","Clusiaceae",31
"Sommera sabiceoides K.Schum.","Rubiaceae",31
"Salacia L.","Celastraceae",31
"Pseudomonotes tropenbosii Londoño, Alvarez, Forero & Morton","Dipterocarpaceae",31
"Duguetia A.St.-Hil.","Annonaceae",31
"Croton L.","Euphorbiaceae",31
"Ocotea bofo Kunth","Lauraceae",31
"SH0919206.09FU","Selaginellaceae",30
"Protium apiculatum Swart","Burseraceae",30
"Inga cinnamomea Spruce ex Benth.","Fabaceae",30
"Epistephium parviflorum Lindl.","Orchidaceae",30
"Piperaceae","Piperaceae",30
"Graffenrieda patens Triana","Melastomataceae",30
"Machaerium Pers.","Fabaceae",30
"Guatteria decurrens R.E.Fr.","Annonaceae",30
"Hymenopus heteromorphus (Benth.) Sothers & Prance","Chrysobalanaceae",30
"Perebea guianensis Aubl.","Moraceae",30
"Jablonskia congesta (Benth. ex Müll.Arg.) G.L.Webster","Phyllanthaceae",30
"Salacia gigantea Loes.","Celastraceae",30
"Clusia spathulifolia Engl.","Clusiaceae",30
"Virola marlenei W.A.Rodrigues","Myristicaceae",30
"Inga pilosula (Rich.) J.F.Macbr.","Fabaceae",30
"Plinia Plum. ex L.","Myrtaceae",30
